License Number,Profession,License Status,Licensee,License Expiration Date,Address 1,Address 2,City,State,County,Zip,Phone
RCO0159,MOLD REMEDIATION COMPANY,CURRENT,BLACKMON- MOORING COMPANY,5/6/2027,5718 AIRPORT FWY,ATTN: LICENSING,HALTOM CITY,TX,TARRANT,76117-6005,817-730-4267
RCO0161,MOLD REMEDIATION COMPANY,CURRENT,BOONES RESTORATION INC DBA,5/14/2028,12222 BRIGHTWOOD DRIVE,,MONTGOMERY,TX,MONTGOMERY,77356,281-444-5959
RCO0162,MOLD REMEDIATION COMPANY,CURRENT,COTTON COMMERCIAL USA INC,3/7/2027,840 W SAM HOUSTON PKWY N,Suite 225,HOUSTON,TX,HARRIS,77024-4610,346-379-0963
RCO0167,MOLD REMEDIATION COMPANY,CURRENT,HESTER ENVIRONMENTAL L.P. DBA TEAM ENTERPRISE,3/18/2027,1313 BLANCO CT,,BENBROOK,TX,TARRANT,76126-4201,469-583-7694
RCO0168,MOLD REMEDIATION COMPANY,EXPIRED,KEY'S CARPETS & RESTORATION INC,12/16/2023,13807 RIVERTON MANOR CT,,CYPRESS,TX,HARRIS,77429-8164,713-462-1855
RCO0172,MOLD REMEDIATION COMPANY,EXPIRED,"TEXAS ENVIRONMENTAL CONTROL, INC.",4/27/2024,4623 STEFFANI LANE,,HOUSTON,TX,HARRIS,77041,713-466-6717
RCO0176,MOLD REMEDIATION COMPANY,CURRENT,SANITARY AIR INC DBA FRESH AIR,3/30/2027,PO BOX 13722,,SAN ANTONIO,TX,BEXAR,78213-0722,210-349-1500
RCO0183,MOLD REMEDIATION COMPANY,CURRENT,"AIR QUALITY ASSOCIATES, INC.",4/20/2028,3933 FM 344 E,,TYLER,TX,SMITH,75703-9221,903-592-7316
RCO0186,MOLD REMEDIATION COMPANY,CURRENT,BELFOR USA GROUP INC,5/2/2027,185 OAKLAND AVE,,BIRMINGHAM,MI,,48009-3478,248-594-1144
RCO0188,MOLD REMEDIATION COMPANY,CURRENT,"ARROW SERVICES, INC.",11/15/2026,11811 NORTH FREEWAY,SUITE 480,HOUSTON,TX,HARRIS,77060,281-445-1246
RCO0189,MOLD REMEDIATION COMPANY,CURRENT,"SPECIALTY RESTORATION OF TEXAS, INC.",5/20/2028,6906 OLD MCGREGOR RD,,WACO,TX,MCLENNAN,76712-6116,254-776-0441
RCO0195,MOLD REMEDIATION COMPANY,CURRENT,BLACKMON MOORING OF TEXAS INC,5/12/2028,5718 Airport AIRPORT FREEWAY,,HALTOM CITY,TX,TARRANT,76117,817-820-7228
RCO0197,MOLD REMEDIATION COMPANY,CURRENT,"BEXAR ENVIRONMENTAL, INC",6/16/2028,17788 INTERSTATE 35 S,,LYTLE,TX,BEXAR,78052-9520,210-622-3500
RCO0202,MOLD REMEDIATION COMPANY,EXPIRED,MBW SERV CORPORATION,10/19/2024,6333 DENTON DR,,DALLAS,TX,DALLAS,75235-5698,972-986-7677
RCO0204,MOLD REMEDIATION COMPANY,EXPIRED,IAQM LLC,3/2/2025,PO BOX 2421,,FORNEY,TX,ROCKWALL,75126-2421,972-564-0477
RCO0216,MOLD REMEDIATION COMPANY,CURRENT,TLI & ENVIRONMENTAL SERVICES INC,2/3/2028,PO BOX 482,,KEMPNER,TX,LAMPASAS,76539-0482,512-932-2405
RCO0223,MOLD REMEDIATION COMPANY,EXPIRED,D & T CONTRACTING LP,8/16/2026,26231 HANNA RD,,SPRING,TX,MONTGOMERY,77386,281-362-9966
RCO0224,MOLD REMEDIATION COMPANY,CURRENT,AF ENVIRONMENTAL SOLUTIONS,11/16/2026,PO BOX 151875,,FORT WORTH,TX,PARKER,76108-5875,817-501-5002
RCO0230,MOLD REMEDIATION COMPANY,CURRENT,INLAND ENVIRONMENTS LTD.,12/14/2026,PO BOX 6751,,KINGWOOD,TX,HARRIS,77325-6751,281-354-7500
RCO0231,MOLD REMEDIATION COMPANY,CURRENT,SAFFELL ENTERPRISES INC,7/30/2027,2408 MINNIS DR,,HALTOM CITY,TX,TARRANT,76117-4856,817-937-9008
RCO0233,MOLD REMEDIATION COMPANY,CURRENT,DWW ABATEMENT INC,3/19/2028,709 N GLENVILLE DR STE 200,,RICHARDSON,TX,DALLAS,75081-2563,214-774-9599
RCO0235,MOLD REMEDIATION COMPANY,CURRENT,ABSOLUTE ENVIRONMENTAL SERVICES LTD LLP,1/12/2027,11315 DOGWOOD,,HUMBLE,TX,HARRIS,77338,281-319-4789
RCO0239,MOLD REMEDIATION COMPANY,CURRENT,CYPRESS-FAIRBANKS ISD,1/15/2028,11430A PERRY RD,,HOUSTON,TX,HARRIS,77064-4587,281-897-4195
RCO0253,MOLD REMEDIATION COMPANY,CURRENT,MOORING RECOVERY SERVICES,6/8/2028,7802  SW LOOP 820,Suite 101,BENBROOK,TX,TARRANT,76126,817-401-5775
RCO0254,MOLD REMEDIATION COMPANY,EXPIRED,DALLAS INDEPENDENT SCHOOL DISTRICT,9/22/2023,3701 SOUTH LAMAR,,DALLAS,TX,DALLAS,75215,972-925-5300
RCO0256,MOLD REMEDIATION COMPANY,CURRENT,SOUTHWEST ABATEMENT INC,7/7/2028,5256 TETONS DR,,EL PASO,TX,EL PASO,79904,915-757-9808
RCO0262,MOLD REMEDIATION COMPANY,CURRENT,BRIERCROFT INC DBA BRIERCROFT FIRE & WATER RESTORATION,9/13/2026,PO BOX 5257,,ABILENE,TX,TAYLOR,79608-5257,325-692-0017
RCO0263,MOLD REMEDIATION COMPANY,CURRENT,"RNDI COMPANIES, INC",9/25/2026,519 E INTERSTATE 30 STE 157,,ROCKWALL,TX,ROCKWALL,75087-5408,469-990-9494
RCO0265,MOLD REMEDIATION COMPANY,CURRENT,LYNX CONTRACTORS INC,9/26/2028,2626 HUNTER RD STE 104,,SAN MARCOS,TX,HAYS,78666-5145,512-845-1661
RCO0268,MOLD REMEDIATION COMPANY,CURRENT,"RON OSBORN, INC",10/31/2026,PO BOX 3709,,ODESSA,TX,ECTOR,79760-3709,432-530-3700
RCO0273,MOLD REMEDIATION COMPANY,CURRENT,R&G CLARK INC DBA SERVPRO OF NW DALLAS,1/12/2027,1846 IDLEWILD LN,,LANCASTER,TX,DALLAS,75134-2626,214-361-7887
RCO1000,MOLD REMEDIATION COMPANY,CURRENT,FIRST RESTORATION INC,6/21/2027,PO BOX 173307,,ARLINGTON,TX,TARRANT,76003-3307,817-557-6810
RCO1004,MOLD REMEDIATION COMPANY,CURRENT,DALWORTH RESTORATION INC,8/1/2027,12750 S PIPELINE RD,,EULESS,TX,TARRANT,76040-5248,817-355-8625
RCO1005,MOLD REMEDIATION COMPANY,CURRENT,HOUSTON INDEPENDENT SCHOOL DISTRICT,12/2/2027,250 MCCARTY ST BLDG 32,Attn: Norris G Schexider Jr,HOUSTON,TX,HARRIS,77029-1138,713-676-9464
RCO1016,MOLD REMEDIATION COMPANY,EXPIRED,GEMSTAR CONSTRUCTION & DEVELOPMENT,8/16/2026,21707 INVERNESS FOREST BLVD,,HOUSTON,TX,HARRIS,77073-1339,281-300-7774
RCO1018,MOLD REMEDIATION COMPANY,EXPIRED,NORTHSTAR DEMOLITION AND REMEDIATION LP,1/23/2024,3318 HIGHWAY 365 STE 242,,NEDERLAND,TX,JEFFERSON,77627-7832,409-886-3959
RCO1024,MOLD REMEDIATION COMPANY,CURRENT,ALL PRO RESTORATION,4/7/2028,PO BOX 26,,CEDAR PARK,TX,WILLIAMSON,78630-0026,512-563-8221
RCO1026,MOLD REMEDIATION COMPANY,CURRENT,BORDER DEMOLITION AND ENVIRONMENTAL INC,6/24/2028,1004 DIESEL DR,,EL PASO,TX,EL PASO,79907-3100,915-860-8855
RCO1038,MOLD REMEDIATION COMPANY,CURRENT,"ROYAL PLUS, INC",10/14/2026,201 BELT ST,,SNOW HILL,MD,,21863-1366,410-677-3473
RCO1040,MOLD REMEDIATION COMPANY,CURRENT,NORLANDER INDUSTRIES L.L.C.,10/19/2026,PO BOX 771323,,HOUSTON,TX,HARRIS,77215-1323,713-240-4075
RCO1042,MOLD REMEDIATION COMPANY,CURRENT,ATI RESTORATION LLC,10/28/2026,120 S CENTRAL AVENUE STE 400,,CLAYTON,MO,OUT OF STATE/UNKNOWN,63105,866-441-8538
RCO1043,MOLD REMEDIATION COMPANY,CURRENT,NATIONAL CATASTROPHE RESTORATION INC,4/23/2028,8447 E 35th  E 35TH NORTH,,WICHITA,KS,,67226-1344,316-636-5700
RCO1059,MOLD REMEDIATION COMPANY,CURRENT,SCOTT-HART INC,3/3/2027,740 INDUSTRIAL BLVD,,SUGAR LAND,TX,FORT BEND,77478-2822,281-313-1338
RCO1063,MOLD REMEDIATION COMPANY,CURRENT,NORTHSTAR-RECOVERY SERVICES INC,5/17/2027,3318 HIGHWAY 365 BOX 242,,NEDERLAND,TX,JEFFERSON,77627-7832,409-886-3959
RCO1071,MOLD REMEDIATION COMPANY,EXPIRED,MIKE DIHARCE OF HILL COUNTRY,12/23/2025,508 MILL RUN,,KERRVILLE,TX,KERR,78028-9345,830-895-5575
RCO1077,MOLD REMEDIATION COMPANY,EXPIRED,"NTC RESTORATION UNLIMITED, LLC DBA 877QUICDRY",1/26/2026,1309 ILLINOIS ST,,SOUTH HOUSTON,TX,HARRIS,77587-5418,713-946-9900
RCO1078,MOLD REMEDIATION COMPANY,CURRENT,LAKESHORE ENVIRONMENTAL CONTRACTORS LLC,12/14/2027,5513 EASTCLIFF INDUSTRIAL LOOP,,BIRMINGHAM,AL,OUT OF STATE/UNKNOWN,35210,205-943-5711
RCO1080,MOLD REMEDIATION COMPANY,EXPIRED,"KNIGHT RESTORATION SERVICES, LP",5/13/2026,4200 Sojourn SOJOURN DR,,DALLAS,TX,DALLAS,75001,214-682-7406
RCO1081,MOLD REMEDIATION COMPANY,EXPIRED,"BMS CAT, INC",2/16/2024,5718 AIRPORT FWY,,HALTOM CITY,TX,TARRANT,76117-6005,817-820-7229
RCO1091,MOLD REMEDIATION COMPANY,CURRENT,CST RESTORATION DBA SERVICEMASTER OF WICHITA FALLS,5/19/2028,7940 SEYMOUR HWY,,WICHITA FALLS,TX,WICHITA,76310-6848,940-723-4722
RCO1095,MOLD REMEDIATION COMPANY,EXPIRED,MFH ENVIRONMENTAL CORP,3/23/2026,1932 W PAISANO DR,,EL PASO,TX,EL PASO,79922-1617,915-351-6004
RCO1096,MOLD REMEDIATION COMPANY,CURRENT,PRISM RESPONSE INC,6/15/2028,300  PENN CENTER BLVD,Suite 701,PITTSBURGH,PA,OUT OF STATE/UNKNOWN,15235,724-575-7411
RCO1099,MOLD REMEDIATION COMPANY,CURRENT,INTERSTATE RESTORATION LLC,9/6/2026,6200 S SYRACUSE WAY STE 230,,GREENWOOD VILLAGE,CO,,80111-4739,817-293-0035
RCO1106,MOLD REMEDIATION COMPANY,CURRENT,RAPID RESIDENTIAL RESTORATION,4/14/2028,5405  NORTHSHORE DR,Rapid Residential Restoration,FRISCO,TX,COLLIN,75034-7580,972-832-8282
RCO1110,MOLD REMEDIATION COMPANY,CURRENT,G OWENS ENTERPRISE INC,1/26/2028,707 S TABOR AVE,,BRYAN,TX,BRAZOS,77803-3963,979-779-3333
RCO1112,MOLD REMEDIATION COMPANY,CURRENT,"AMERICAN ABATEMENT, LLC",3/22/2027,3725 PITLUK AVE,,SAN ANTONIO,TX,BEXAR,78211-3526,210-408-8131
RCO1114,MOLD REMEDIATION COMPANY,EXPIRED,TWENTY FOUR SEVEN RESOURCES LLC,6/11/2025,18405 LAKEPOINT CV,,LAGO VISTA,TX,TRAVIS,78645-8718,512-490-1112
RCO1115,MOLD REMEDIATION COMPANY,CURRENT,TEXAS GENERAL CONTRACTORS INC,6/3/2027,4601 S WAYSIDE DR,,HOUSTON,TX,HARRIS,77087-1113,713-640-2025
RCO1122,MOLD REMEDIATION COMPANY,CURRENT,BSRK INC DBA TEXAS ENVIRONMENTAL CONSULTANTS,10/31/2027,PO BOX 7464,,TYLER,TX,SMITH,75711-7464,903-574-1469
RCO1142,MOLD REMEDIATION COMPANY,CURRENT,CT RESTORATION,3/5/2028,6613 19TH STREET,,LUBBOCK,TX,LUBBOCK,79407,806-795-5142
RCO1143,MOLD REMEDIATION COMPANY,CURRENT,BLUSKY RESTORATION CONTRACTORS LLC,3/28/2028,9767 EAST EASTER AVE.,,CENTENNIAL,CO,,80112-3450,562-505-6560
RCO1144,MOLD REMEDIATION COMPANY,EXPIRED,RESTOPROS INC,2/2/2026,954 GLEN OAKS BLVD,,DALLAS,TX,DALLAS,75232-2522,214-435-9648
RCO1146,MOLD REMEDIATION COMPANY,EXPIRED,BASIC ENVIRONMENTAL GROUP LLC,2/21/2026,11839 KEY BISCAYNE CT,,HOUSTON,TX,HARRIS,77065-4090,832-617-8815
RCO1151,MOLD REMEDIATION COMPANY,CURRENT,AIRTECH REMEDIATION LLC,3/11/2028,3021 RIDGE RD SUITE 100,,ROCKWALL,TX,ROCKWALL,75032,972-839-6115
RCO1153,MOLD REMEDIATION COMPANY,CURRENT,ROBJA LLC,8/24/2028,PO BOX 2560,,WYLIE,TX,COLLIN,75098-2560,972-420-4771
RCO1158,MOLD REMEDIATION COMPANY,CURRENT,CRANE CONTRACTORS LLC,11/14/2026,101 TRADESMEN DR,,HUTTO,TX,WILLIAMSON,78634-4050,512-733-0600
RCO1159,MOLD REMEDIATION COMPANY,CURRENT,B&R WILEY FAMILY LP DBA SERVPRO OF MESQUITE & SERVPRO OF KAUFMAN,2/7/2027,PO BOX 851717,,MESQUITE,TX,DALLAS,75185-1717,972-329-4747
RCO1165,MOLD REMEDIATION COMPANY,CURRENT,PINNACLE DISASTER & RECOVERY SERVICES,10/7/2026,12507 WOODWORTH DR STE 400,,CYPRESS,TX,HARRIS,77429-7872,281-256-0888
RCO1166,MOLD REMEDIATION COMPANY,CURRENT,CAMACHO DEMOLITION LLC,2/15/2027,5113 AGNES ST,,CORPUS CHRISTI,TX,NUECES,78405-3713,361-289-1095
RCO1182,MOLD REMEDIATION COMPANY,EXPIRED,GREEN STAR ECO SERVICES,9/10/2025,460 APPALOOSA DR,,FISCHER,TX,COMAL,78623-1901,281-410-5564
RCO1188,MOLD REMEDIATION COMPANY,CURRENT,ALLEN & COMPANY ENVIRONMENTAL SERVICES,2/7/2028,2401 E LOOP 820 N,,FORT WORTH,TX,TARRANT,76118-6933,817-887-9801
RCO1189,MOLD REMEDIATION COMPANY,CURRENT,A-TOWN/HI-TECH LP,8/18/2028,305 S PIONEER DR,,ABILENE,TX,TAYLOR,79605-1520,325-428-7541
RCO1191,MOLD REMEDIATION COMPANY,EXPIRED,GALLIGAN RESTORATION SERVICES INC,6/14/2026,11509 FM 1957 UNIT B,,SAN ANTONIO,TX,BEXAR,78253-9246,210-670-9591
RCO1196,MOLD REMEDIATION COMPANY,CURRENT,BPB2 GROUP INC,5/2/2028,2610 AVIATION PKWY,,GRAND PRAIRIE,TX,TARRANT,75052-7607,817-557-1447
RCO1203,MOLD REMEDIATION COMPANY,CURRENT,CAP CONSTRUCTION AND ENVIRONMENTAL,6/30/2027,6926 SUNSHINE TREE DR,,SAN ANTONIO,TX,BEXAR,78249-3513,210-382-4357
RCO1206,MOLD REMEDIATION COMPANY,CURRENT,MAGNOLIA TOTAL RESTORATION,8/4/2028,615 SUPERIOR RD,,MAGNOLIA,TX,MONTGOMERY,77354-1425,936-321-7205
RCO1213,MOLD REMEDIATION COMPANY,CURRENT,JUPE ENVIRONMENTAL INC,3/19/2027,2010 S BRAZOS ST,,SAN ANTONIO,TX,BEXAR,78207-7742,210-734-3119
RCO1214,MOLD REMEDIATION COMPANY,CURRENT,ABATEMENT SPECIALISTS LLC,11/9/2026,1421 UPLAND DR,,HOUSTON,TX,HARRIS,77043-4720,832-230-4293
RCO1218,MOLD REMEDIATION COMPANY,CURRENT,SITEK OMNI SERVICES LLC,12/21/2026,1780 ROUGH NECK DR,,HUMBLE,TX,HARRIS,77338-5360,281-812-1461
RCO1224,MOLD REMEDIATION COMPANY,EXPIRED,SERVICE ENVIRONMENTS OF TEXAS INC,4/30/2025,801 RUSSELL PALMER RD,,KINGWOOD,TX,MONTGOMERY,77339-1644,281-358-0363
RCO1228,MOLD REMEDIATION COMPANY,EXPIRED,TEXAS DISASTER RESTORATION LLC,5/25/2025,2270 SPRINGLAKE RD STE 400,,FARMERS BRANCH,TX,DALLAS,75234-5878,972-247-1511
RCO1232,MOLD REMEDIATION COMPANY,CURRENT,RESTORNATION INC,10/24/2027,PO BOX 9579,,THE WOODLANDS,TX,MONTGOMERY,77387-9579,281-419-9943
RCO1233,MOLD REMEDIATION COMPANY,CURRENT,TRIANGLE RESTORATION LLC,9/24/2027,2125 STILLWATER DR,,BEAUMONT,TX,JEFFERSON,77705-0812,409-729-2800
RCO1235,MOLD REMEDIATION COMPANY,EXPIRED,US RESTORATION LLC,10/5/2025,70237 HIGHWAY 59,,ABITA SPRINGS,LA,,70420-3178,504-885-3289
RCO1238,MOLD REMEDIATION COMPANY,CURRENT,"STRATEGIC FILTRATION, INC.",9/22/2028,2500 FAIRWAY PARK DR,,HOUSTON,TX,HARRIS,77092-7607,713-939-0505
RCO1243,MOLD REMEDIATION COMPANY,CURRENT,CHAMPION DISASTER SERVICES LLC SERVPRO OF STONE OAK,1/5/2028,18847 REDLAND RD STE 103,,SAN ANTONIO,TX,BEXAR,78259-3680,210-858-9696
RCO1245,MOLD REMEDIATION COMPANY,CURRENT,AFFORDABLE ENVIRONMENTAL SERVICES LLC,1/14/2028,3821 DIVIDEND DR.,,GARLAND,TX,DALLAS,75042,469-338-7229
RCO1250,MOLD REMEDIATION COMPANY,CURRENT,IMPERIAL RESTORATION SERVICE LLP,3/1/2028,14053,Memorial Dr 139,HOUSTON,TX,HARRIS,77079-6826,979-482-1550
RCO1251,MOLD REMEDIATION COMPANY,CURRENT,"COMPASS ABATEMENT SERVICES, LLC",2/29/2028,6730 WINDFERN RD,,HOUSTON,TX,HARRIS,77040-4908,832-230-8871
RCO1252,MOLD REMEDIATION COMPANY,CURRENT,AGILE ENVIRONMENTAL LLC,3/6/2028,13511 SOUTH TRACEWOOD BEND,,HOUSTON,TX,HARRIS,77077-1540,832-512-3132
RCO1253,MOLD REMEDIATION COMPANY,CURRENT,CLEAN AIR RESTORATION LLC,4/8/2028,22003 KOBS RD,,TOMBALL,TX,HARRIS,77377-3601,281-620-6519
RCO1256,MOLD REMEDIATION COMPANY,CURRENT,CRUZANT CORPORATION,7/22/2028,25702 ALDINE WESTFIELD RD,STE 1102,SPRING,TX,HARRIS,77373-5978,833-463-7989
RCO1258,MOLD REMEDIATION COMPANY,EXPIRED,32832 BERNARD ENTERPRISE,5/16/2026,18901 KUYKENDAHL RD STE F,,SPRING,TX,HARRIS,77379-5497,832-874-0642
RCO1259,MOLD REMEDIATION COMPANY,CURRENT,BOSLEY MANAGEMENT LLC DBA 3W RESTORATION,5/19/2028,6413 MIDWAY RD STE B,,HALTOM CITY,TX,TARRANT,76117-5303,817-632-1555
RCO1260,MOLD REMEDIATION COMPANY,CURRENT,BRISTOL ENVIRONMENTAL LLC,7/12/2028,1123 BEAVER ST,,BRISTOL,PA,,19007-3233,215-788-6040
RCO1262,MOLD REMEDIATION COMPANY,EXPIRED,FRONTIER SERVICES GROUP LLC,6/27/2024,13735 FM 529 RD,,HOUSTON,TX,HARRIS,77041-2522,713-937-8700
RCO1264,MOLD REMEDIATION COMPANY,CURRENT,STEAM TEAM INC,7/27/2028,1904 W KOENIG LN,,AUSTIN,TX,TRAVIS,78756-1211,512-451-8326
RCO1265,MOLD REMEDIATION COMPANY,CURRENT,MUNDAE CLEANING & RESTORATION,10/5/2026,6101 MAPLE ST,,HOUSTON,TX,HARRIS,77074-7449,713-777-7700
RCO1266,MOLD REMEDIATION COMPANY,CURRENT,MOAK DEVELOPMENTS LLC,10/31/2026,32014 TAMINA RD,,MAGNOLIA,TX,MONTGOMERY,77354-2223,832-460-5535
RCO1270,MOLD REMEDIATION COMPANY,CURRENT,SIGNAL USA LLA,9/23/2028,2490 INDUSTRIAL ROW DR,,TROY,MI,,48084-7005,248-288-6300
RCO1273,MOLD REMEDIATION COMPANY,CURRENT,TMJ RESTORATION LLC,11/1/2026,1411 WUNSCHE LOOP UNIT 2435,,SPRING,TX,HARRIS,77383-1200,832-928-9332
RCO1274,MOLD REMEDIATION COMPANY,CURRENT,BWLNG LLC,8/4/2027,PO BOX 635370,,NACOGDOCHES,TX,NACOGDOCHES,75963-5370,936-559-0404
RCO1276,MOLD REMEDIATION COMPANY,EXPIRED,CATSTRONG LLC,10/31/2024,208 BELLA CIMA DR,,AUSTIN,TX,TRAVIS,78734-2671,512-897-7488
RCO1278,MOLD REMEDIATION COMPANY,CURRENT,TONROY INC DBA SERVPRO OF HELOTES AND LEON SPRINGS,11/14/2026,407 US HIGHWAY 289,,COMFORT,TX,KENDALL,78013-3418,830-995-4102
RCO1279,MOLD REMEDIATION COMPANY,EXPIRED,WOODLANDS WATER RESTORATION LLC,10/3/2024,25003 PITKIN RD STE B100,,SPRING,TX,MONTGOMERY,77386-2610,832-588-2284
RCO1282,MOLD REMEDIATION COMPANY,CURRENT,MASSBUR LLC,8/7/2027,6448 E HWY 290 STE C110,,AUSTIN,TX,TRAVIS,78723-1074,800-465-7305
RCO1285,MOLD REMEDIATION COMPANY,CURRENT,CORE REALTY PARTNERS,6/23/2027,473 W 38TH ST,,HOUSTON,TX,HARRIS,77018-6603,281-356-6333
RCO1286,MOLD REMEDIATION COMPANY,CURRENT,"RIDGELINE INTEGRATED SOLUTIONS, LLC",2/7/2027,1408 N RIVERFRONT BLVD # 138,,DALLAS,TX,DALLAS,75207-3912,254-466-3368
RCO1288,MOLD REMEDIATION COMPANY,CURRENT,ADVANCED RESTORATIONS,3/14/2027,1630 W EULESS BLVD,,EULESS,TX,TARRANT,76040-6825,817-267-5555
RCO1290,MOLD REMEDIATION COMPANY,CURRENT,STEAMERY INC,4/9/2027,PO BOX 9128,,COLLEGE STATION,TX,BRAZOS,77842-9128,979-693-6969
RCO1291,MOLD REMEDIATION COMPANY,CURRENT,NORTHSTAR DEMOLITION AND REMEDIATION INC,4/12/2027,3318 HIGHWAY 365 BOX 242,,NEDERLAND,TX,JEFFERSON,77627-7832,409-886-3959
RCO1294,MOLD REMEDIATION COMPANY,EXPIRED,EMERGENCY CLEANING SOLUTIONS,8/2/2025,2902 BRIARCROFT ST,,SAN ANTONIO,TX,BEXAR,78217-3801,210-392-8891
RCO1295,MOLD REMEDIATION COMPANY,CURRENT,NOBLE DEMOLITION LLC,6/6/2027,2516 FREEDOM DR,,SAN ANTONIO,TX,BEXAR,78217-4425,210-651-9497
RCO1300,MOLD REMEDIATION COMPANY,CURRENT,"JOSHUA19, INC.",5/8/2028,13019 HARMON RD STE 301,,FORT WORTH,TX,TARRANT,76177,817-805-6085
RCO1301,MOLD REMEDIATION COMPANY,EXPIRED,RESCUE RESTORATION LLC,7/31/2025,941 HENSLEY LN,,WYLIE,TX,COLLIN,75098-4909,972-412-2165
RCO1302,MOLD REMEDIATION COMPANY,CURRENT,BUILDING ABATEMENT DEMOLITION COMPANY INC,8/21/2027,1621 COUNTY ROAD 269,,LEANDER,TX,WILLIAMSON,78641-1522,512-778-6069
