License Number,Profession,License Status,Licensee,License Expiration Date,Address 1,Address 2,City,State,County,Zip,Phone
ACO0199,MOLD ASSESSMENT COMPANY,CURRENT,PSI,7/16/2028,3730 DACOMA STREET,,HOUSTON,TX,HARRIS,77092,832-259-6336
ACO0201,MOLD ASSESSMENT COMPANY,CURRENT,PRIMERA PROFESSIONAL SERVICES GROUP LLC,8/13/2028,835 E LAMAR BLVD STE 274,,ARLINGTON,TX,TARRANT,76011-3504,682-227-8585
ACO0211,MOLD ASSESSMENT COMPANY,CURRENT,LYNN CLARK ASSOCIATES INC DBA,10/28/2026,PO BOX 29469,,DALLAS,TX,DALLAS,75229-0469,972-241-6680
ACO0216,MOLD ASSESSMENT COMPANY,CURRENT,"ARGUS ENVIRONMENTAL CONSULTANTS, LLC",12/21/2026,10004 WURZBACH RD # 247,,SAN ANTONIO,TX,BEXAR,78230-2214,210-493-2560
ACO0218,MOLD ASSESSMENT COMPANY,CURRENT,UNITED SERVICES AUTOMOBILE ASSOCIATION,10/28/2026,9800 FREDERICKSBURG RD,ATTN PEI GAO,SAN ANTONIO,TX,BEXAR,78288-0001,210-215-6670
ACO1000,MOLD ASSESSMENT COMPANY,CURRENT,CUMORAH INC DBA PROVIDENT GROUP,5/28/2027,PO BOX 886,,DENTON,TX,DENTON,76202-0886,940-898-0861
ACO1001,MOLD ASSESSMENT COMPANY,CURRENT,"MOLD INSPECTION SCIENCES TEXAS, INC.",3/20/2027,PO BOX 270664,,LOUISVILLE,CO,,80027-5011,512-535-2493
ACO1002,MOLD ASSESSMENT COMPANY,CURRENT,TEXAS A&M UNIVERSITY ENVIRONMENTAL HEALTH AND SAFETY DEPARTMENT,5/22/2027,4472 TAMU,,COLLEGE STATION,TX,BRAZOS,77843-0001,979-845-2132
ACO1010,MOLD ASSESSMENT COMPANY,CURRENT,KING CONSULTANTS INC,3/26/2028,1205 E 46TH ST,,LUBBOCK,TX,LUBBOCK,79404-3807,806-763-6157
ACO1029,MOLD ASSESSMENT COMPANY,CURRENT,"EHP CONSULTING, LLC",6/18/2027,10455 N CENTRAL EXPY STE 109,,DALLAS,TX,DALLAS,75231-2215,214-417-9280
ACO1031,MOLD ASSESSMENT COMPANY,CURRENT,L & P SCIENTIFIC CONSULTING LLC,6/25/2027,13291 MONTANA AVE,,EL PASO,TX,HUDSPETH,79938-9650,915-838-1188
ACO1035,MOLD ASSESSMENT COMPANY,EXPIRED,"NTC RESTORATION UNLIMITED, LLC DBA 877QUICDRY",1/15/2026,1309 ILLINOIS ST,,SOUTH HOUSTON,TX,HARRIS,77587-5418,713-777-6653
ACO1040,MOLD ASSESSMENT COMPANY,CURRENT,HILLMANN CONSULTING LLC,3/7/2028,1600 ROUTE 22 E STE 107,,UNION,NJ,OUT OF STATE/UNKNOWN,07083-3410,908-688-7800
ACO1041,MOLD ASSESSMENT COMPANY,CURRENT,TARGUS ASSOCIATES LLC,3/16/2028,3333 EARHART DR STE 210,,CARROLLTON,TX,DALLAS,75006-4972,972-247-7229
ACO1046,MOLD ASSESSMENT COMPANY,EXPIRED,RISKNOMICS LLC,2/2/2025,331 E ORANGE DR,,CASA GRANDE,AZ,,85122-4043,602-881-9665
ACO1047,MOLD ASSESSMENT COMPANY,CURRENT,QC LABORATORIES INC,5/21/2027,10810 NORTHWEST FWY,,HOUSTON,TX,HARRIS,77092-7304,713-695-1133
ACO1053,MOLD ASSESSMENT COMPANY,CURRENT,ARCADIS US INC,4/3/2027,110 W FAYETTE ST STE 300,Attn: Legal,SYRACUSE,NY,,13202-1199,720-344-3727
ACO1055,MOLD ASSESSMENT COMPANY,EXPIRED,JENKINS ENVIRONMENTAL CONSULTING LLC,2/8/2024,7756 NORTHCROSS DR STE 103,,AUSTIN,TX,TRAVIS,78757,512-708-9390
ACO1056,MOLD ASSESSMENT COMPANY,CURRENT,ESESIS ENVIRONMENTAL PARTNERS CORP,1/9/2028,PO BOX 889," ",ELM MOTT,TX,MCLENNAN,76640-0889,254-829-1477
ACO1060,MOLD ASSESSMENT COMPANY,CURRENT,JEFF ZUNKER SPECIALTY PRODUCTS INC DBA ASTEX ENVIRONMENTAL SERVI,4/20/2028,139 Braniff  139 BRANIFF DR,,SAN ANTONIO,TX,BEXAR,78216,210-828-2900
ACO1061,MOLD ASSESSMENT COMPANY,CURRENT,APEX TITAN INC,4/16/2028,2121 MIDWAY RD SUITE 100,,CARROLLTON,TX,DALLAS,75006-5262,469-365-1100
ACO1062,MOLD ASSESSMENT COMPANY,CURRENT,TERRA NOVA CONSULTING INC,8/19/2028,6725 S FRY RD,PMB 700-345,KATY,TX,HARRIS,77494-8102,713-482-8787
ACO1069,MOLD ASSESSMENT COMPANY,CURRENT,VANTAGE ENVIRONMENTAL SERVICES LP,10/17/2026,15851 DALLAS PKWY STE 600,,ADDISON,TX,DALLAS,75001-6030,214-561-8690
ACO1070,MOLD ASSESSMENT COMPANY,CURRENT,SETX ENVIRONMENTAL INC,10/28/2026,3331 TAFT AVE,,GROVES,TX,JEFFERSON,77619-5830,409-963-2731
ACO1073,MOLD ASSESSMENT COMPANY,CURRENT,AAMECC LLC,7/30/2027,1327 E WASHINGTON AVE STE 242,,HARLINGEN,TX,CAMERON,78550-5684,956-357-4269
ACO1074,MOLD ASSESSMENT COMPANY,CURRENT,ENVIRONMENTAL TESTING GROUP INC,2/7/2028,655 W GRAND AVE,#300,ELMHURST,IL,OUT OF STATE/UNKNOWN,60126,855-600-6653
ACO1078,MOLD ASSESSMENT COMPANY,CURRENT,NOVA CONSULTING GROUP INC,2/4/2028,5320 W 23RD ST STE 270,,MINNEAPOLIS,MN,,55416-1663,952-361-8681
ACO1080,MOLD ASSESSMENT COMPANY,CURRENT,MECX INC,3/8/2028,9079 KNIGHT RD,,HOUSTON,TX,HARRIS,77054-4305,713-585-7000
ACO1081,MOLD ASSESSMENT COMPANY,CURRENT,FERKAM MANAGEMENT CORPORATION,6/11/2028,525 N HOUSTON AVE,,HUMBLE,TX,HARRIS,77338-3870,346-345-2015
ACO1083,MOLD ASSESSMENT COMPANY,CURRENT,ALLEN ANALYTICAL LABORATORIES INC DBA ALL MOLD PRO,4/2/2028,709B W RUSK ST STE 580,,ROCKWALL,TX,ROCKWALL,75087-3624,972-567-7298
ACO1084,MOLD ASSESSMENT COMPANY,EXPIRED,DOUGHERTY SPRAGUE ENTERPRISES INC,1/18/2025,1405 CHESTNUT DR,,ROWLETT,TX,ROCKWALL,75089-3252,972-412-8666
ACO1088,MOLD ASSESSMENT COMPANY,CURRENT,"CHAMPION ENVIRONMENTAL CONSULTING, INC.",2/18/2027,109 W 7TH ST STE 210,,GEORGETOWN,TX,WILLIAMSON,78626-5766,512-992-5383
ACO1089,MOLD ASSESSMENT COMPANY,CURRENT,ESE PARTNERS LLC,3/18/2027,2002 W GRAND PKWY N STE 140,,KATY,TX,HARRIS,77449-1964,281-501-6100
ACO1090,MOLD ASSESSMENT COMPANY,CURRENT,TEXAS MOLD INSPECTION SERVICE,4/23/2027,1932 CARMEL DR,,PLANO,TX,COLLIN,75075,972-567-2664
ACO1091,MOLD ASSESSMENT COMPANY,CURRENT,"ANE CONSULTING, INC",8/27/2027,6595 STRAHAN,,EL PASO,TX,EL PASO,79932,915-243-7088
ACO1092,MOLD ASSESSMENT COMPANY,EXPIRED,"BSC FORENSIC SERVICES, LLC",7/15/2025,1519 VANDERWILT LN,,KATY,TX,HARRIS,77449-1897,888-405-3160
ACO1094,MOLD ASSESSMENT COMPANY,CURRENT,"PREFERRED HOME INSPECTIONS, INC.",3/20/2027,26406 PINE CANYON DR,,SPRING,TX,MONTGOMERY,77380-1272,713-249-8581
ACO1095,MOLD ASSESSMENT COMPANY,CURRENT,PARTNER ASSESSMENT CORPORATION,3/28/2028,2154 TORRANCE BLVD STE 200,,TORRANCE,CA,,90501-2609,310-765-7275
ACO1100,MOLD ASSESSMENT COMPANY,CURRENT,TURNSTONE EH&S INC,10/2/2026,226 S ENTERPRIZE PKWY STE 116,,CORPUS CHRISTI,TX,NUECES,78405-4120,281-470-0708
ACO1109,MOLD ASSESSMENT COMPANY,EXPIRED,HANSON PROFESSIONAL SERVICES INC,11/13/2024,1525 S 6TH ST,,SPRINGFIELD,IL,,62703-2801,217-788-2450
ACO1116,MOLD ASSESSMENT COMPANY,CURRENT,MOLD BAD MOLD LLC,3/9/2027,7457 HOLLISTER ST,,HOUSTON,TX,HARRIS,77040-5325,281-782-7966
ACO1117,MOLD ASSESSMENT COMPANY,CURRENT,MICROBIOLOGY SPECIALISTS INCORPORATED,3/16/2027,8275 EL RIO ST STE 110,,HOUSTON,TX,HARRIS,77054-4633,713-663-6888
ACO1118,MOLD ASSESSMENT COMPANY,CURRENT,J.S. HELD LLC,1/3/2028,19 CHATHAM RD,,SUMMIT,NJ,OUT OF STATE/UNKNOWN,07901-1301,609-731-2565
ACO1120,MOLD ASSESSMENT COMPANY,CURRENT,MUNDAE CLEANING & RESTORATION,8/16/2027,6101 MAPLE ST,,HOUSTON,TX,HARRIS,77074-7449,713-777-7700
ACO1121,MOLD ASSESSMENT COMPANY,CURRENT,CJ ENVIRONMENTAL CONSULTING LLC,6/28/2027,PO BOX 160895,,SAN ANTONIO,TX,BEXAR,78280-3095,210-788-7330
ACO1123,MOLD ASSESSMENT COMPANY,EXPIRED,BBG ASSESSMENTS LLC,5/15/2026,8343 DOUGLAS AVE STE 700,,DALLAS,TX,DALLAS,75225-5851,214-890-6464
ACO1125,MOLD ASSESSMENT COMPANY,CURRENT,TRC ENVIRONMENTAL CORPORATION,9/27/2027,505 E HUNTLAND DRIVE SUITE 250,,AUSTIN,TX,TRAVIS,78752,512-329-6080
ACO1126,MOLD ASSESSMENT COMPANY,CURRENT,DCG ENVIRONMENTAL LLC,12/5/2027,211 WEST PLEASANT RUN,,LANCASTER,TX,ELLIS,75146,972-489-8927
ACO1127,MOLD ASSESSMENT COMPANY,CURRENT,DALLAS / FORT WORTH INTERNATIONAL AIRPORT BOARD,10/2/2027,PO BOX 619428,Annex A Environmental,DALLAS,TX,DALLAS,75261-9428,972-973-5682
ACO1129,MOLD ASSESSMENT COMPANY,CURRENT,FIG SERVICES LLC,11/4/2027,11227 ENDICOTT LN,,HOUSTON,TX,HARRIS,77035-3032,832-279-1960
ACO1130,MOLD ASSESSMENT COMPANY,CURRENT,AGILE ENVIRONMENTAL LLC,6/17/2028,13511 SOUTH TRACEWOOD BEND,,HOUSTON,TX,HARRIS,77077-1540,832-512-3132
ACO1131,MOLD ASSESSMENT COMPANY,CURRENT,CULLEY ENVIRO LLC,1/7/2028,4401  GORMAN DRIVE,,"FORT WORTH ",TX,TARRANT,76132,817-939-1643
ACO1134,MOLD ASSESSMENT COMPANY,CURRENT,"VETERAN HOME INSPECTIONS, PLLC",11/30/2027,4033 FM 2828,,BANDERA,TX,BANDERA,78003-5139,210-202-1974
ACO1135,MOLD ASSESSMENT COMPANY,CURRENT,BROADBENT & ASSOCIATES,1/28/2028,113 FALLS CT STE 700,,BOERNE,TX,KENDALL,78006-2975,702-712-0985
ACO1136,MOLD ASSESSMENT COMPANY,EXPIRED,DBL CHECK LLC,1/21/2024,11366 RIM ROCK TRL,,AUSTIN,TX,HAYS,78737-2817,512-669-9909
ACO1138,MOLD ASSESSMENT COMPANY,CURRENT,"ENSOLUM, LLC",2/7/2028,8330 LBJ FWY STE 830,,DALLAS,TX,DALLAS,75243-1390,214-364-8142
ACO1143,MOLD ASSESSMENT COMPANY,CURRENT,MOLDFINDER.COM INC.,10/22/2026,2431 S SAN ANTONIO ST,,PEARLAND,TX,HARRIS,77581-4035,866-484-8318
ACO1144,MOLD ASSESSMENT COMPANY,CURRENT,1ST RATE INSPECTIONS,3/7/2028,16111 MARY ANN ST,,CYPRESS,TX,HARRIS,77429,832-567-5791
ACO1145,MOLD ASSESSMENT COMPANY,EXPIRED,AGGIE INSPECTOR GROUP LLC,9/10/2024,14027 MEMORIAL DR # 362,,HOUSTON,TX,HARRIS,77079-6826,832-865-9218
ACO1146,MOLD ASSESSMENT COMPANY,CURRENT,POINT ALLIANCE SOLUTIONS LLC,5/7/2027,22720 LAIN ROAD,,SPRING,TX,HARRIS,77379,832-953-2899
ACO1147,MOLD ASSESSMENT COMPANY,CURRENT,FERN ENVIRONMENTAL LLC,12/16/2026,1900 W GRAY ST UNIT 131631,,HOUSTON,TX,HARRIS,77219-2680,713-202-4717
ACO1149,MOLD ASSESSMENT COMPANY,CURRENT,"E-TECH ENVIRONMENTAL & SAFETY SOLUTIONS, INC",1/14/2027,6309 INDIANA AVE,Ste. D,LUBBOCK,TX,LUBBOCK,79413-5738,432-894-2100
ACO1150,MOLD ASSESSMENT COMPANY,CURRENT,"ALL ENVIRONMENTAL, INC.",2/21/2027,3405 WYCLIFF AVE,,MCKINNEY,TX,COLLIN,75071-1407,925-746-6017
ACO1152,MOLD ASSESSMENT COMPANY,CURRENT,CASTALDO ENTERPRISE LLC,2/25/2027,PO BOX 270521,,FLOWER MOUND,TX,DENTON,75027-0521,972-440-5678
ACO1155,MOLD ASSESSMENT COMPANY,EXPIRED,NATIONAL HOUSECHECK,4/30/2025,1001 ED RUTHERFORD DR,ATTN RUSELL LEWIS,GREENVILLE,TX,HUNT,75402-5701,850-348-3429
ACO1157,MOLD ASSESSMENT COMPANY,EXPIRED,DALLAS MOLD INSPECTION GROUP,10/20/2025,5200 MARTEL AVE APT 3K,,DALLAS,TX,DALLAS,75206-5648,214-728-7541
ACO1158,MOLD ASSESSMENT COMPANY,CURRENT,CERTIFIED MOLD ASSESSMENTS INC,9/30/2027,3959 VAN DYKE RD PMB 369,,LUTZ,FL,OUT OF STATE/UNKNOWN,33558,813-789-8209
ACO1161,MOLD ASSESSMENT COMPANY,EXPIRED,DRYMORE COMPANY,12/2/2025,8345 W LITTLE YORK RD STE 2,,HOUSTON,TX,HARRIS,77040-4393,281-930-0100
ACO1162,MOLD ASSESSMENT COMPANY,CURRENT,GREENWORKS SERVICE COMPANY,6/6/2028,4848 LEMMON AVE # 613,,DALLAS,TX,DALLAS,75219-1400,855-349-6757
ACO1164,MOLD ASSESSMENT COMPANY,EXPIRED,"TETRA TECH, INC.",6/22/2026,1500 CITYWEST BLVD,Ste 1000,HOUSTON,TX,HARRIS,77042-2300,832-251-5160
ACO1165,MOLD ASSESSMENT COMPANY,CURRENT,"GIF SERVICES, LLC",1/6/2028,1625 CLARENDON DR,,LEWISVILLE,TX,DENTON,75067-3217,469-400-5838
ACO1168,MOLD ASSESSMENT COMPANY,CURRENT,CE ENVIRONMENTAL CONSULTANTS LLC,2/24/2028,PO BOX 129,,PATTISON,TX,WALLER,77466-0129,775-250-7898
ACO1170,MOLD ASSESSMENT COMPANY,CURRENT,"SRP ENVIRONMENTAL, LLC",10/31/2026,348 AERO DR,,SHREVEPORT,LA,,71107-6704,936-446-8227
ACO1171,MOLD ASSESSMENT COMPANY,CURRENT,FIX AIRX LLC,1/30/2027,4400 STATE HIGHWAY 121,Suite 300-1228,LEWISVILLE,TX,DENTON,75056-4561,469-224-7774
ACO1173,MOLD ASSESSMENT COMPANY,CURRENT,"NELSON FORENSICS, LLC",7/21/2028,2740 DALLAS PKWY STE 220,,PLANO,TX,COLLIN,75093-4856,469-429-9000
ACO1174,MOLD ASSESSMENT COMPANY,EXPIRED,"NINYO & MOORE GEOTECHNICAL & ENVIROMENTAL SCIENCES CONSULTANTS, INC.",8/5/2024,5710 RUFFIN RD,,SAN DIEGO,CA,OUT OF STATE/UNKNOWN,92123-1013,713-973-8400
ACO1175,MOLD ASSESSMENT COMPANY,CURRENT,"TOTAL SAFETY, U.S., INC.",8/12/2028,4210 MALONE DR,,PASADENA,TX,HARRIS,77507-1841,281-291-4800
ACO1177,MOLD ASSESSMENT COMPANY,CURRENT,"NV5, INC.",9/20/2026,200 S PARK RD STE 350,,HOLLYWOOD,FL,,33021-8798,954-613-6731
ACO1178,MOLD ASSESSMENT COMPANY,CURRENT,"ENVIRONMENTAL CONSULTANTS INTERNATIONAL, LLC",10/19/2026,5773 WOODWAY DR,Suite 310,HOUSTON,TX,HARRIS,77057-1501,713-344-1300
ACO1179,MOLD ASSESSMENT COMPANY,CURRENT,LEAD PAINT INSPECTION,10/29/2026,6919 PINE VISTA LN,,HOUSTON,TX,HARRIS,77092-1010,832-840-7887
ACO1181,MOLD ASSESSMENT COMPANY,CURRENT,CYPRESS ENVIRONMENTAL CONSULTING LLC,12/21/2026,10605 GRANT RD STE 106,,HOUSTON,TX,HARRIS,77070-4452,281-640-4475
ACO1182,MOLD ASSESSMENT COMPANY,CURRENT,UL VERIFICATION SERVICES INC,2/21/2027,801 KLEIN RD STE 200,,PLANO,TX,COLLIN,75074-3779,469-410-1336
ACO1184,MOLD ASSESSMENT COMPANY,EXPIRED,AEG HOLDCO LLC,6/22/2025,5655 LINDERO CANYON RD,Suite 701,WESTLAKE VILLAGE,CA,,91362-4016,951-400-2521
ACO1185,MOLD ASSESSMENT COMPANY,CURRENT,MOLD BUSTERS LLC,6/22/2027,22720 MORTON RANCH RD STE 160,,KATY,TX,HARRIS,77449-2155,281-957-6653
ACO1189,MOLD ASSESSMENT COMPANY,EXPIRED,MICRO TESTING INC,8/5/2025,5900 BALCONES DR STE 4579,,AUSTIN,TX,TRAVIS,78731-4257,800-839-9195
ACO1190,MOLD ASSESSMENT COMPANY,CURRENT,TOOLMAN MOLD INSPECTIONS LLC,9/6/2027,19708 COPPER POINT CV,,PFLUGERVILLE,TX,TRAVIS,78660-2192,512-673-3113
ACO1191,MOLD ASSESSMENT COMPANY,CURRENT,DEKD ENVIRONMENTAL,9/9/2027,PO BOX 33185,,SAN ANTONIO,TX,BEXAR,78265-3185,210-370-7655
ACO1192,MOLD ASSESSMENT COMPANY,CURRENT,"FLINT INSPECTION CONSULTING SERVICES, INC.",9/13/2027,538 DOVE LN,,WICHITA FALLS,TX,WICHITA,76305-7001,940-569-4876
ACO1193,MOLD ASSESSMENT COMPANY,CURRENT,"TEXAS STATE ENVIRONMENTAL CONSULTING, LLC",9/20/2027,125 ARCHERS WAY,,SAN MARCOS,TX,GUADALUPE,78666-2018,512-952-2757
ACO1194,MOLD ASSESSMENT COMPANY,CURRENT,"CHOICE CONSULTING, LLC",9/20/2027,PO BOX 12333,,COLLEGE STATION,TX,BRAZOS,77842-2333,979-492-5104
ACO1195,MOLD ASSESSMENT COMPANY,CURRENT,"AEREM ENVIRONMENTAL CONSULTANTS, LLC",9/23/2027,1502 NEW COMBES HWY,#533484,HARLINGEN,TX,CAMERON,78553-4601,956-873-3782
ACO1196,MOLD ASSESSMENT COMPANY,CURRENT,MB&T SERVICES,12/2/2027,PO BOX 333,,ROCKWALL,TX,COLLIN,75087-0333,469-323-4377
ACO1197,MOLD ASSESSMENT COMPANY,CURRENT,"INDOOR ENVIRONMENTAL SAFE SPACE NETWORK, CORP",10/6/2027,280 W RENNER RD,3513,RICHARDSON,TX,DALLAS,75080-1349,817-966-6440
ACO1198,MOLD ASSESSMENT COMPANY,EXPIRED,SWCA INC DBA SWCA ENVIRONMENTAL CONSULTANTS,10/17/2023,4949 N LOOP 1604 W STE 235,,SAN ANTONIO,TX,BEXAR,78249-1390,210-877-2847
ACO1199,MOLD ASSESSMENT COMPANY,EXPIRED,"RESTORATION XP CONSTRUCTION, LLC",10/28/2023,1745 HAYDEN DR,Unit 150C,CARROLLTON,TX,DALLAS,75006-5739,800-858-1701
ACO1200,MOLD ASSESSMENT COMPANY,CURRENT,BRAUN INTERTEC CORPORATION,11/14/2027,11001 HAMPSHIRE AVE S,,MINNEAPOLIS,MN,OUT OF STATE/UNKNOWN,55438-2424,952-995-2000
ACO1201,MOLD ASSESSMENT COMPANY,CURRENT,"HOUSTON HOME INSPECTIONS, PLLC",12/26/2027,32302 TAMINA RD,A-1,MAGNOLIA,TX,MONTGOMERY,77354-3492,713-408-1129
ACO1202,MOLD ASSESSMENT COMPANY,EXPIRED,"CASTLE HOME INSPECTIONS, PLLC",12/28/2023,10325 BEVERLY HILLS DR,,CORPUS CHRISTI,TX,NUECES,78410-2214,361-878-5665
ACO1203,MOLD ASSESSMENT COMPANY,CURRENT,BAER ENGINEERING & ENVIRONMENTAL CONSULTING INC,1/3/2028,7756 NORTHCROSS DR STE 211,,AUSTIN,TX,TRAVIS,78757-1738,512-453-3733
ACO1204,MOLD ASSESSMENT COMPANY,EXPIRED,"HALFF ASSOCIATES, INC.",1/6/2024,14800 SAINT MARYS LN STE 160,,HOUSTON,TX,HARRIS,77079-2943,713-588-2450
