License Number,License Type,Business Name,DBA Name,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,License Status
25-6HP3V-SHMO,Mold Remediation Contractor License (SH126),A2Z Restoration Group Corp,,1626 RIDGEWAY DRIVE,,HEWLETT,NY,11557,5167708960,08/15/2025,08/31/2027,Active
25-6HTRU-SHMO,Mold Remediation Contractor License (SH126),AAS PAINTING INC.,,42 Cedar Ln Apt C4,,OSSINING,NY,10562,7184504663,08/28/2025,08/31/2027,Active
25-6TKW8-SHMO,Mold Remediation Contractor License (SH126),ABC Emergency Response LLC,,112 Wade Rd,,Latham,NY,12110,5189153291,04/29/2025,04/30/2027,Active
25-6L4X4-SHMO,Mold Assessment Contractor License (SH125),AC & E Home Inspection Corp,,14 Ashford Dr,,RIDGE,NY,11961,,10/23/2025,10/31/2027,Active
26-66AE4-SHMO,Mold Assessment Contractor License (SH125),"ACP BUFFALO, LLC",,135 Delaware Ave.,Ste Frnt 103,Buffalo,NY,14202,7162599071,04/29/2026,04/30/2028,Active
01832,Mold Assessment Contractor License (SH125),ADNY23 Corp.,,59 John Street #4H,,NEW YORK,NY,10038,2128284522,02/10/2023,02/28/2025,Expired
23-6TQKE-SHMO,Mold Remediation Contractor License (SH126),"AFM Professional Services, LLC",,37 Mercury Dr.,,Rochester,NY,14624,5854152406,05/23/2023,05/31/2025,Expired
25-643I9-SHMO,Mold Remediation Contractor License (SH126),"AGG Contracting, Inc.",,140 Gibson Avenue,,Staten Island,NY,10308,7184992300,02/18/2025,02/28/2027,Active
26-6SSLN-SHMO,Mold Assessment Contractor License (SH125),AIM Environmental LLC,,2460 Lemoine Avenue,Suite 503,Fort Lee,NJ,07024,2015285047,02/26/2026,02/29/2028,Active
25-64PHJ-SHMO,Mold Remediation Contractor License (SH126),AJS General Contracting & Home Improvements LLC,,137 Greenwood Drive,,Massapequa,NY,11758,5165096623,01/13/2025,01/31/2027,Active
25-6HIGI-SHMO,Mold Remediation Contractor License (SH126),"ALPHA ENVIRONMENTAL SERVICES, INC",Environmental Services,185 MERRICK ROAD,SUITE LLA,LYNBROOK,NY,11563,9175171860,09/12/2025,09/30/2027,Active
25-65HGF-SHMO,Mold Assessment Contractor License (SH125),AMERICAN EIFS INSPECTORS AND ASSOCIATES INC,,93 Rockwell Dr,,Hilton,NY,14468,5855636585,06/11/2025,06/30/2027,Active
26-6Z198-SHMO,Mold Remediation Contractor License (SH126),AMIT CONSTRUCTION CORP,,89-35 120TH STREET,,RICHMOND HILL,NY,11418,6469325961,02/09/2026,02/29/2028,Active
25-64SV1-SHMO,Mold Remediation Contractor License (SH126),ANNAS 4 CONTRACTING LLC,,51 Highland Ave,,New Rochelle,NY,10801,9143432733,02/06/2025,02/28/2027,Active
01888,Mold Remediation Contractor License (SH126),APN Environmental LLC,,54 Maple Street,,CATSKILL,NY,12414,8458838128,11/16/2022,11/30/2024,Expired
24-63U9U-SHMO,Mold Remediation Contractor License (SH126),"ARCS AND SPARKS, LLC",,11130 bowen rd,,attica,NY,14011,5853222722,11/07/2024,11/30/2026,Active
25-659LZ-SHMO,Mold Remediation Contractor License (SH126),ARMOTECH CORP.,,43-07 28TH AVE,,ASTORIA,NY,11103,6462562538,06/23/2025,06/30/2027,Active
24-6335T-SHMO,Mold Assessment Contractor License (SH125),ASTONSHINE INCORPORATED,,2143 Union Rd,,West Seneca,NY,14224,7169901588,11/27/2024,11/30/2026,Active
26-66LA1-SHMO,Mold Assessment Contractor License (SH125),"AUAR Enterprises, Inc.",Colello Air Technologies,123 Coleman Ave,,Watertown,NY,13601,3157789403,04/16/2026,04/30/2028,Active
26-6SAOF-SHMO,Mold Assessment Contractor License (SH125),Aaction Environmental Services Inc.,,158 Hessland Ct,,Elma,NY,14059,7168181212,02/11/2026,02/29/2028,Active
25-644CB-SHMO,Mold Remediation Contractor License (SH126),Abatepro Mbe Environmental Corp.,,3434boller ave,,Bronx,NY,10475,3472452541,02/20/2025,02/28/2027,Active
25-643SX-SHMO,Mold Assessment Contractor License (SH125),Absolute Enviro LLC,,40 Red Rock Rd,,NEW CITY,NY,10956,6467846013,02/18/2025,02/28/2027,Active
26-63BY7-SHMO,Mold Assessment Contractor License (SH125),Accredited Environmental Safety Corp.,,66-47 Grand Avenue,2nd Floor,Maspeth,NY,11378,9294185281,07/22/2026,07/31/2028,Active
26-6SBCJ-SHMO,Mold Assessment Contractor License (SH125),"Accredited Lead Inspection, Inc.",,156 Shore Road,,Port Washington,NY,11050,5169445323,01/30/2026,01/31/2028,Active
26-6ATL4-SHMO,Mold Assessment Contractor License (SH125),"Ace Mold Inspection, Inc",,1274 49nth Street #262,,Brooklyn,NY,11219,7182856783,06/12/2026,06/30/2028,Active
25-64SKA-SHMO,Mold Remediation Contractor License (SH126),Adam's European Contracting Inc,,589 Johnson Ave,,BROOKLYN,NY,11237,7184179000,02/06/2025,02/28/2027,Active
01873,Mold Remediation Contractor License (SH126),"Advance Catastrophe Technologies, LLC",,4070 N Hoover Ct,,Wichita,KS,67205,8779000493,09/22/2022,09/30/2024,Expired
25-6UKUZ-SHMO,Mold Remediation Contractor License (SH126),Advanced DRI LLC,,2713 Route 17M,,New Hampton,NY,10958,8452948919,06/17/2025,06/30/2027,Active
24-6ZIVL-SHMO,Mold Remediation Contractor License (SH126),"Advantage Service Group Associates, Inc.",,193 Lake Rd.,,BALLSTON LAKE,NY,12019,5183843806,04/04/2024,03/31/2026,Expired
23-6UMC8-SHMO,Mold Remediation Contractor License (SH126),Affordable Remediation & Emergency Services LLC,,5 Kimberly Ct,,MANALAPAN,NJ,07726,7327698101,08/08/2023,05/31/2025,Expired
23-6TJS9-SHMO,Mold Assessment Contractor License (SH125),Aimco Painting Inc.,,49-36 168th Street,,Fresh Meadows,NY,11365,9177323555,04/24/2023,04/24/2025,Expired
01796,Mold Assessment Contractor License (SH125),"Air Quality Solutions, LLC",,9 Bassett Court,,BALDWIN PLACE,NY,10505,9147030039,10/18/2022,10/31/2024,Expired
26-6647Y-SHMO,Mold Assessment Contractor License (SH125),AirQC LLC,,855 East 7 Street,3J,Brooklyn,NY,11230,7186026800,05/07/2026,05/31/2028,Active
26-6LDTY-SHMO,Mold Assessment Contractor License (SH125),"Airborne Inspection Pros, Inc.",All Island Mold Inspectors,32 Ambassador Lane,,Selden,NY,11784,6313461450,01/15/2026,10/31/2027,Active
25-67QDV-SHMO,Mold Assessment Contractor License (SH125),Albert Einstein College of Medicine,,1300 Morris Park Ave,,Bronx,NY,10461,7184304150,12/03/2025,12/31/2027,Active
01724,Mold Assessment Contractor License (SH125),Alex Wolf,A.W. Mold Assessment Co.,207 Garfield Ave,,EAST ROCHESTER,NY,14445,5853299121,04/29/2022,04/30/2024,Expired
25-6LZSE-SHMO,Mold Remediation Contractor License (SH126),All Boro Cleaning Service Inc,,42 Maple Place,,AMITYVILLE,NY,11701,5169423016,11/06/2025,11/30/2027,Active
26-6LFZL-SHMO,Mold Assessment Contractor License (SH125),"All City Contracting & Cleaning, Inc.",All City Restoration,"160 Hicks St.,",,Westbury,NY,11590,5163389800,01/07/2026,12/31/2027,Active
26-6ZETS-SHMO,Mold Assessment Contractor License (SH125),"All Clear Environmental Services, Inc.",,31 TRESCOTT PATH,,FORT SALONGA,NY,11768,6312694205,03/03/2026,03/31/2028,Active
25-6UYS1-SHMO,Mold Remediation Contractor License (SH126),"All Green Contracting USA, Inc.",,2514 62nd St W,,Lehigh Acres,FL,33971,5189372487,07/01/2025,07/31/2027,Active
23-6UXZ8-SHMO,Mold Assessment Contractor License (SH125),All In One Home Inspections LLC,,1202 Ave U,#1099,Brooklyn,NY,11229,6467701556,08/23/2023,08/31/2025,Expired
24-638JN-SHMO,Mold Remediation Contractor License (SH126),All Repair and Restoration LLC,ALL DRY USA,999 South Oyster Bay Road,,BETHPAGE,NY,11714,5163689601,09/16/2024,09/30/2026,Active
26-6AZZY-SHMO,Mold Remediation Contractor License (SH126),"All Star Restoration, Inc.",Rainbow Restoration of Long Island,"4835 Vets Memorial Highway, Unit B",,Holbrook,NY,11741,6315637860,07/20/2026,07/31/2028,Active
26-6Z5J8-SHMO,Mold Remediation Contractor License (SH126),"All Vac Environmental, Inc.",,2558 Route US 9W,,Cornwall,NY,12518,8456417851,03/23/2026,03/31/2028,Active
25-6IDN9-SHMO,Mold Assessment Contractor License (SH125),Ally Environmental LLC,,81 Roosevelt Avenue,,STATEN ISLAND,NY,10314,2122037523,12/01/2025,12/31/2027,Active
24-6ZEHG-SHMO,Mold Assessment Contractor License (SH125),Alpha Phase Design And Construction LLC,,24 Suydam Drive,,Melville,NY,11747,6318488864,03/07/2024,03/31/2026,Expired
01257,Mold Assessment Contractor License (SH125),Alta Enterprise LLC,,2000 Clover St,,ROCHESTER,NY,14618,5857337264,10/16/2018,10/31/2024,Expired
24-6ASEC-SHMO,Mold Assessment Contractor License (SH125),"Alternative Construction & Environmental Solutions, Inc.",,2247 Wrightsboro Road,,Augusta,GA,30904,7062622000,07/09/2024,07/31/2026,Expired
24-6SIFU-SHMO,Mold Remediation Contractor License (SH126),Ama Environmental LLC,,"35 E. Grassy Sprain Rd, Ste 206",,YONKERS,NY,10710,9144343133,02/14/2024,03/31/2027,Active
25-645Q7-SHMO,Mold Assessment Contractor License (SH125),"Ambient Group, Inc.",,470 Seventh Avenue,,NEW YORK,NY,10018,2129444615,02/24/2025,02/28/2027,Active
25-6IXJ1-SHMO,Mold Remediation Contractor License (SH126),"American Fire Restoration, LLC",,71-02 80th St.,,GLENDALE,NY,11385,,11/12/2025,11/30/2027,Active
25-6UOY3-SHMO,Mold Remediation Contractor License (SH126),American Restoration Solutions Inc.,,39 Werman Ct,,PLAINVIEW,NY,11803,5169278263,09/26/2025,09/30/2027,Active
26-69SR9-SHMO,Mold Remediation Contractor License (SH126),"Anchor Contracting NY, Corp.",,3026 Laconia Ave,,Bronx,NY,10469,3476227787,08/07/2026,08/31/2028,Active
26-6A3DQ-SHMO,Mold Assessment Contractor License (SH125),Angstrom Testing Services L.L.C.,,"30 Hempstead Avenue, S4",,Rockville Centre,NY,11570,5167244574,07/02/2026,07/31/2028,Active
25-6UJH8-SHMO,Mold Remediation Contractor License (SH126),Anthony Siquier,Lake Placid Mold Pros,41 Danielle Rd,,Jay,NY,12941,5187276470,08/21/2025,08/31/2027,Active
24-6I5B3-SHMO,Mold Remediation Contractor License (SH126),"Apex Cleaning, Inc.",,4809 Avenue N Suite 250,,BROOKLYN,NY,11234,7182539595,01/17/2024,03/31/2026,Expired
01793,Mold Assessment Contractor License (SH125),Apex Environmental Consulting Corp,,349 Mariaville Road,,SCHENECTADY,NY,12306,5186120294,10/17/2022,10/31/2024,Expired
25-6HE59-SHMO,Mold Remediation Contractor License (SH126),Apex Mold Specialists inc.,,2679 East 64th Street,,Brooklyn,NY,11234,8002176897,07/25/2025,07/31/2027,Active
26-66C4Q-SHMO,Mold Remediation Contractor License (SH126),Aqua-Pro Restoration LLC,,555 Broadhollow Rd,Ste 305,Melville,NY,11747,4072147772,03/23/2026,03/31/2028,Active
23-6LATO-SHMO,Mold Assessment Contractor License (SH125),"Arch Environmental Compliance Service Associates, LLC",,333 Kingsley Road,,BURNT HILLS,NY,12027,5186989832,11/21/2023,11/30/2025,Expired
23-6UEEX-SHMO,Mold Assessment Contractor License (SH125),Ari Cleaning - Water Damage - Mold Removal Inc.,,1626 E 36th Street,,Brooklyn,NY,11234,6466713514,07/26/2023,02/28/2025,Expired
24-63RYV-SHMO,Mold Remediation Contractor License (SH126),Arric Corporation,,5033 Transit Rd,,DEPEW,NY,14043,7166813535,09/04/2024,10/31/2026,Active
26-69COD-SHMO,Mold Remediation Contractor License (SH126),Ashley's Restoration LLC,,917 Springfield Rd,,Wilmington,NY,12997,5185246004,07/02/2026,07/31/2028,Active
26-6ANFB-SHMO,Mold Assessment Contractor License (SH125),Assured Property Solutions LLC,,58 Mcgregor Lane,,Crompond,NY,10517,9143144248,05/06/2026,05/31/2028,Active
25-644P4-SHMO,Mold Assessment Contractor License (SH125),"Athenica Environmental Services, Inc.",,31-33 31st Street,2nd Floor,"Astoria,",NY,11106,7187847490,02/20/2025,02/28/2027,Active
25-6UNQF-SHMO,Mold Remediation Contractor License (SH126),Avante Contracting Corp,,180 East Prospect Ave,Ste 2A,Mamaroneck,NY,10543,9146980700,04/10/2025,04/30/2027,Active
26-6AVO3-SHMO,Mold Assessment Contractor License (SH125),"Azar Design Co, Architecture, Landscape Architecture, Engineering and Surveying, P.C.",,"295 Main Street, Suite 200",,Buffalo,NY,14203,7168563933,05/26/2026,05/31/2028,Active
26-6ZE9L-SHMO,Mold Assessment Contractor License (SH125),B&B Mold Consulting LLC,Five Boro Mold specialist,394 Marcy Avenue,1L,Brooklyn,NY,11206,7186776653,02/19/2026,02/29/2028,Active
25-6TPQC-SHMO,Mold Remediation Contractor License (SH126),B-One Construction Inc.,,3947 Miller Place,,Levittown,NY,11756,6465782473,04/25/2025,04/30/2027,Active
25-6UD9D-SHMO,Mold Remediation Contractor License (SH126),"BBMK CONTRACTING, LLC",,6800 BROKEN SOUND PKWY NW STE 300,,Boca Raton,FL,33487,9549283870,09/19/2025,07/31/2027,Active
25-6TEQF-SHMO,Mold Assessment Contractor License (SH125),BEST ENVIRONMENTAL SERVICES INC,,439E 135th STREET Apt.1E,,BRONX,NY,10454,3475912002,08/20/2025,08/31/2027,Active
25-671QC-SHMO,Mold Remediation Contractor License (SH126),"BJS RENOVATIONS, INC","BJS RENOVATIONS, INS",757 BURKE AVE,,BROBX,NY,10467,3473341893,12/18/2025,12/31/2027,Active
26-63CR3-SHMO,Mold Remediation Contractor License (SH126),"BNB Holdings, Inc.",Rainbow International of Allerton,55 Wickes Ave,,Yonkers,NY,10701,9177684343,08/21/2026,08/31/2028,Active
26-69QAC-SHMO,Mold Assessment Contractor License (SH125),BOCES of Sole Supervisory District of Putnam & Westchester Counties,,200 BOCES Drive,,Yorktown Heights,NY,10598,9142452700,07/13/2026,07/31/2028,Active
24-6ZY1D-SHMO,Mold Remediation Contractor License (SH126),BUF DL LLC,Servpro of Central Buffalo and Eastern Niagara County,2728 Niagara Falls Blvd,,Niagara Falls,NY,14304,7164126800,02/23/2024,02/28/2026,Expired
24-6ZX5A-SHMO,Mold Assessment Contractor License (SH125),"BVTHL, LLC",,367 Saint Marks Avenue,,Brooklyn,NY,11238,9148886008,03/22/2024,03/31/2026,Expired
26-6ZA5V-SHMO,Mold Assessment Contractor License (SH125),"Bald Eagle Inspection Services, LLC",,856 Knickerbocker Road,,Schaghticoke,NY,12154,5184882538,06/03/2026,06/30/2028,Active
26-6S78A-SHMO,Mold Remediation Contractor License (SH126),Barros Construction Corp.,,107-22 117 st,,South Richmond Hill,NY,11419,6469967282,03/11/2026,03/31/2028,Active
25-65RZ8-SHMO,Mold Remediation Contractor License (SH126),"Beam Enterprises, Inc.",,3 Contorino Way,Bldg 2,Chester,NY,10918,9146177699,03/21/2025,03/31/2027,Active
24-6Z4ZE-SHMO,Mold Assessment Contractor License (SH125),Below Market LLC,,1830 E 14th St,,BROOKLYN,NY,11229,9179957481,04/17/2024,06/30/2026,Expired
26-664GP-SHMO,Mold Assessment Contractor License (SH125),Benitez Remodeling Corp,,36 Railroad Ave,,Glen Head,NY,11545,6316827834,05/05/2026,05/31/2028,Active
25-647VF-SHMO,Mold Remediation Contractor License (SH126),Best Choice Environmental & Restoration LLC,,316 Stafford St,,PALMYRA,NY,14522,5856900911,02/28/2025,02/28/2027,Active
25-6UJRF-SHMO,Mold Remediation Contractor License (SH126),"Better Energy Solutions, Inc.",,64 Orange Ave,,Suffern,NY,10901,8453605680,07/21/2025,07/31/2027,Active
26-6A59X-SHMO,Mold Assessment Contractor License (SH125),"Big East Environmental, LLC",,57 Chestnut St,Unit 10,Norwalk,CT,06854,2033544955,07/17/2026,07/31/2028,Active
26-6AOD3-SHMO,Mold Remediation Contractor License (SH126),BioTek Environmental NYC LLC,,6616 Avenue T,,Brooklyn,NY,11234,2127846490,06/26/2026,06/30/2028,Active
26-6ZD6S-SHMo,Mold Assessment Contractor License (SH125),Black Mountain Renovations LLC,,2419 Crotona Ave,,Bronx,NY,10458,7182203439,02/12/2026,02/29/2028,Active
26-69KJ9-SHMO,Mold Assessment Contractor License (SH125),"E  The Solution Associates, LLC",Alfa Consulting International,58 US Route 46,Suite 206,Budd Lake,NJ,07828,7182298859,06/25/2026,06/30/2028,Active
24-6AY3B-SHMO,Mold Remediation Contractor License (SH126),100 Lincoln Blvd LLC,,100 Lincoln Blvd,,Hempstead,NY,11550,5162439540,05/03/2024,05/31/2026,Expired
23-61V9Y-SHMO,Mold Assessment Contractor License (SH125),"1st Call Home Inspections, Inc.",,16 Greenbush Drive,,Poughkeepsie,NY,12601,8456359310,10/02/2023,09/30/2025,Expired
26-6AKFB-SHMO,Mold Assessment Contractor License (SH125),2SAFE Consulting Inc.,,1975 Hempstead Turnpike,408,East Meadow,NY,11554,5163682673,05/14/2026,05/31/2028,Active
25-65UJ9-SHMO,Mold Remediation Contractor License (SH126),360 Property Restoration LLC,,49 1/2 Lincoln Ave,,BINGHAMTON,NY,13905,6073495155,05/09/2025,05/31/2027,Active
25-6UODS-SHMO,Mold Assessment Contractor License (SH125),"56 Services, Inc.",,143 Bidwell Parkway,,Buffalo,NY,14222,7163418601,05/21/2025,05/31/2027,Active
25-6T86Q-SHMO,Mold Remediation Contractor License (SH126),911 Renovation LLC,Restoration Operators,171 Brady Ave,,Hawthorne,NY,10532,9148470340,03/04/2025,03/31/2027,Active
01756,Mold Remediation Contractor License (SH126),A & I Restoration LLC,,703 Yonkers LLC,,YONKERS,NY,10704,9172709744,06/08/2022,06/30/2024,Expired
26-6IPGI-SHMO,Mold Assessment Contractor License (SH125),A Plus Asbestos Investigation Inc.,,119 Deepdale Drive,,Middletown,NJ,07748,7182277244,01/06/2026,01/31/2028,Active
25-6TMXF-SHMO,Mold Remediation Contractor License (SH126),A Quest Corporation,,159 42nd St,,BROOKLYN,NY,11232,9176928280,03/10/2025,03/31/2027,Active
25-6TPJU-SHMO,Mold Remediation Contractor License (SH126),A&G Maintenance Inc,,1279 East 17th St Apt 3C,,Brooklyn,NY,11230,7187585115,04/10/2025,04/30/2027,Active
24-63NUK-SHMO,Mold Assessment Contractor License (SH125),A&S Complete Home Inspection LLC,,404 Batter Street,,Pattersonville,NY,12137,5185262775,08/28/2024,08/31/2026,Expired
00115,Mold Remediation Contractor License (SH126),"A.A.C. Contracting, Inc.",,175 Humboldt St.,,ROCHESTER,NY,14610,5852335363,01/05/2016,01/31/2024,Expired
24-6SUVK-SHMO,Mold Remediation Contractor License (SH126),A.S. Construction & Development Inc,,1538 Hone Ave,,BRONX,NY,10461,7185517160,02/13/2024,02/28/2026,Expired
25-6LCZU-SHMO,Mold Remediation Contractor License (SH126),A.W.S. Environmental Inc.,,"75 Windsor Ave, Unit BB",,Mineola,NY,11501,5166055270,10/20/2025,10/31/2027,Active
23-6IJJY-SHMO,Mold Remediation Contractor License (SH126),AAC Contracting LLC,,175 Humboldt St Ste 200,,Rochester,NY,14610,5855278000,12/15/2023,12/31/2025,Expired
25-6I8N8-SHMO,Mold Remediation Contractor License (SH126),ABATEK CORP,,63-32 78TH ST,,MIDDLE VILLAGE,NY,11373,7183264757,05/08/2025,05/31/2027,Active
26-69LUX-SHMO,Mold Assessment Contractor License (SH125),ABC environmental llc,,1548 east 2nd street,,Brooklyn,NY,11229,9295813300,08/03/2026,08/31/2028,Active
25-6LOKC-SHMO,Mold Remediation Contractor License (SH126),ACA Environmental Services Inc,,One Hayes Street,,ELMSFORD,NY,10523,,10/21/2025,12/31/2027,Active
26-669P7-SHMO,Mold Remediation Contractor License (SH126),ACR Contracting Group LLC,,23 Washington Ave,,Sandy Hook,CT,06482,9149182097,05/22/2026,05/31/2028,Active
01918,Mold Remediation Contractor License (SH126),ADNY23 Corp.,,59 John Street #4H,,NEW YORK,NY,10038,2128284522,02/10/2023,02/28/2025,Expired
24-6S6Z1-SHMO,Mold Remediation Contractor License (SH126),AGA Environmental Inc.,,319 Scarborough Drive,,Endwell,NY,13760,6072394784,02/22/2024,02/28/2026,Expired
26-63383-SHMO,Mold Assessment Contractor License (SH125),AI & I Links Inc.,N/A,11820 180th Street,,Jamaica,NY,11434,3473514587,08/03/2026,08/31/2028,Active
25-6UJ59-SHMO,Mold Assessment Contractor License (SH125),AIR Environmental Consulting LLC,,"3 Neptune Rd, Ste A29",,POUGHKEEPSIE,NY,12601,8454620200,07/16/2025,07/31/2027,Active
24-63P1K-SHMO,Mold Remediation Contractor License (SH126),ALBA Environmental Inc,,240 West 52nd Street,,NEW YORK,NY,10019,2126436936,10/10/2024,10/31/2026,Active
25-6LT66-SHMO,Mold Remediation Contractor License (SH126),ALPS INTERIORS INC,,150 E 58th Street,27th Floor,Manhattan,NY,10155,2123896101,11/28/2025,11/30/2027,Active
26-677N8-SHMO,Mold Assessment Contractor License (SH125),AMERICAN PRECISION MOLD & ENVIROMENTAL,,18 PHILLARD ROAD,,PATTERSON,NY,12563,2033123224,01/28/2026,01/31/2028,Active
00702,Mold Remediation Contractor License (SH126),"AMPM Environmental, Inc.",,2 Rensselaer Dr,,SPRING VALLEY,NY,10977,8455581373,05/17/2016,05/31/2024,Expired
25-6LLX1-SHMO,Mold Remediation Contractor License (SH126),AOM Environmental LLC,,3749 E Main Rd,,Fredonia,NY,14063,7168988143,10/23/2025,10/31/2027,Active
25-6U8J6-SHMO,Mold Assessment Contractor License (SH125),APOLLO REAL PROPERTIES INC.,,655 Route6N,,Mahopac,NY,10541,9142600482,11/21/2025,07/31/2027,Active
26-6ZOQA-SHMO,Mold Remediation Contractor License (SH126),ARGENTO GENERAL CONSTRUCTION LLC,,18-29 42nd St,,Astoria,NY,11105,7187770101,01/23/2026,01/31/2028,Active
25-6HU4Q-SHMO,Mold Remediation Contractor License (SH126),ASBESTOS CONTROL PROFESSIONAL LLC,,519 ROSEVILLE AVE,1A,NEWARK,NJ,07107,9149064082,09/08/2025,09/30/2027,Active
25-6SKOX-SHMO,Mold Assessment Contractor License (SH125),"ATC Group Services, LLC",Atlas Technical,"104 East 25th St, 8th floor",,NEW YORK,NY,10010,2123538280,12/31/2025,01/31/2028,Active
26-6ZPFO-SHMO,Mold Remediation Contractor License (SH126),"AUAR Enterprises, Inc.",Colello Air Technologies,123 Coleman Ave,,Watertown,NY,13601,3157789403,04/23/2026,04/30/2028,Active
01684,Mold Assessment Contractor License (SH125),Aaron Lozier,Lozier Home Inspections,16 Linden Ave,,TROY,NY,12180,5189563754,01/05/2022,01/31/2024,Expired
23-6TK8W-SHMO,Mold Assessment Contractor License (SH125),Abby-Owen Environmental LLC,,PO Box 252,,FULTON,NY,13069,3152971397,04/26/2023,05/31/2025,Expired
24-6IZGP-SHMO,Mold Assessment Contractor License (SH125),"Absolutely Clean Environment, Inc.",,"777 Westcheste, Suite 101",,White Plains,NY,10604,5166443253,01/09/2024,01/31/2026,Expired
26-63BB8-SHMO,Mold Remediation Contractor License (SH126),Accredited Environmental Safety Corp.,,66-47 Grand Avenue,2nd Floor,Maspeth,NY,11378,9294185281,07/22/2026,07/31/2028,Active
26-6sxbd-shmo,Mold Remediation Contractor License (SH126),"Accurate Pest Control, LLC",,1161 Curry Road,,Schenectady,NY,12306,5183740357,03/23/2026,03/31/2028,Active
00839,Mold Remediation Contractor License (SH126),"Ace Remediation, Inc.",,421 Winding Hill Rd,,MONTGOMERY,NY,12549,8453614737,08/31/2016,08/31/2024,Expired
25-65O39-SHMO,Mold Assessment Contractor License (SH125),Add Expertise Enviromental group corporation,,15 Hillcrest Dr,,Westbury,NY,11590,7189380356,04/30/2025,04/30/2027,Active
26-6uxmc-shmo,Mold Assessment Contractor License (SH125),"Advance Look, Inc.",,129 Gardnerville Rd,,New Hampton,NY,10958,8452340716,03/19/2026,03/31/2028,Active
25-6INDU-SHMO,Mold Assessment Contractor License (SH125),Advanced Environmental Corp.,,353 LEXINGTON AVE FL 11,,New York,NY,10016,2125451855,11/07/2025,11/30/2027,Active
26-6ACOE-SHMO,Mold Remediation Contractor License (SH126),Aegean Environmental Services Corp.,,2116 80th Street,,East Elmhurst,NY,11370,2125405323,05/11/2026,05/31/2028,Active
25-67VAP-SHMO,Mold Remediation Contractor License (SH126),AfterShock Mitigation & Construction Co. LLC,,6694 Seavy Rd.,,Marcy,NY,13403,3152739555,11/25/2025,11/30/2027,Active
25-6LZN5-SHMO,Mold Assessment Contractor License (SH125),Air Guard LLC,,69 Smith Street,,Roosevelt,NY,11575,3478581415,09/17/2025,09/30/2027,Active
23-6LYUY-SHMO,Mold Assessment Contractor License (SH125),AirBio Testing LLC,,40-04 Bowne Street,Suite 2J,New York,NY,11354,9179371462,10/17/2023,10/31/2025,Expired
